Label,Eye_Distance,Nose_Chin_Distance,Mouth_Width
Balkan,61.98386886924694,55.10898293381942,42.42640687119285
Balkan,59.033888572581766,54.147945482723536,39.01281840626232
Balkan,62.00806399170998,54.00925846556311,37.0
Balkan,64.00781202322104,52.15361924162119,34.0
Balkan,61.00819617067857,56.0357029044876,33.015148038438355
Balkan,57.706152185014034,50.92150822589606,37.33630940518894
Balkan,65.06919393998976,66.06814663663572,43.04648650006177
Balkan,30.01666203960727,37.0,23.0
European,68.00735254367721,58.077534382926416,40.01249804748511
European,62.03224967708329,56.22277118748239,39.01281840626232
European,59.0,58.137767414994535,35.0
European,67.02984409947557,63.00793600809346,40.01249804748511
European,69.02897942168927,61.032778078668514,49.040799340956916
European,69.00724599634447,60.0,37.013511046643494
European,70.0,59.07622195096772,51.0098029794274
European,63.0,56.08029957123981,46.0
European,64.0,58.034472514187634,40.0
European,63.0317380372777,62.0,41.012193308819754
European,63.00793600809346,58.0,47.0
European,69.02897942168927,59.07622195096772,49.0
European,70.0,77.31752712031083,46.0
European,68.0,57.3149195236284,34.0
European,68.06614430096654,64.19501538281614,42.04759208325728
European,69.18092222571191,52.773099207835045,36.05551275463989
European,77.0,56.568542494923804,44.04543109109048
European,67.06713054842886,54.230987451824994,48.010415536631214
European,65.12296062065974,62.00806399170998,49.16299421312742
European,69.02897942168927,59.033888572581766,42.01190307520001
European,63.00793600809346,53.08483775994799,32.01562118716424
European,71.06335201775947,53.33854141237835,42.0
European,64.03124237432849,60.0,44.01136216933077
European,72.06247289678588,63.12685640834652,53.03772242470448
European,70.00714249274856,57.0087712549569,39.01281840626232
European,55.00909015790027,53.03772242470448,35.014282800023196
European,63.12685640834652,56.08029957123981,44.181444068749045
European,61.032778078668514,56.00892785976178,40.049968789001575
European,56.0357029044876,52.03844732503075,45.09988913511872
European,59.033888572581766,58.034472514187634,51.0098029794274
European,67.0,55.00909015790027,51.0098029794274
European,61.07372593840988,53.009433122794285,44.10215414239989
European,58.008620049092706,57.0,42.0
European,61.00819617067857,52.03844732503075,42.01190307520001
European,56.22277118748239,51.478150704935004,51.24451190127583
European,53.03772242470448,55.00909015790027,38.01315561749642
European,64.1248781675256,53.23532661682466,47.095647357266465
European,61.032778078668514,57.0087712549569,41.012193308819754
European,60.0,56.0357029044876,45.0111097397076
European,57.56735185849702,57.9396237474839,41.7612260356422
European,66.03029607687671,56.00892785976178,46.04345773288535
European,62.0,47.0,40.01249804748511
European,66.18912297349165,53.150729063673246,40.049968789001575
European,68.00735254367721,51.0098029794274,39.01281840626232
European,64.19501538281614,51.15662224971465,47.095647357266465
European,63.00793600809346,52.03844732503075,46.0
Indian,64.03124237432849,53.150729063673246,40.049968789001575
Indian,22.360679774997898,26.019223662515376,16.1245154965971
Indian,65.49045732013177,58.309518948453004,42.190046219457976
Indian,65.03076195155643,55.08175741568164,37.0
Indian,64.0,59.00847396772772,37.0
